run_id,sample_index,sim_time_s,frame,round,ai_enabled,ai_mode,paused,ion_index,ion_charge,ion_marked,ion_attached_channel,ion_inside,ion_x,ion_y,ion_z,ion_vx,ion_vy,ion_vz,ion_speed,ion_recent_transfer_timer,total_ions,inside_count,outside_count,open_channel_count,total_crossings,global_pressure_bias,global_swirl_strength,electric_x,electric_y,electric_z,channel_open_mask,channel_attached_counts
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,0,-1,0,,0,-2.645691,4.49142,-5.831461,0.352894,0.08075,0.491704,0.610596,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,1,1,0,,0,1.91559,-4.082546,-6.249424,0.375664,-0.177803,-0.334433,0.533463,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,2,1,0,,0,-0.103945,3.800011,-5.607447,-0.404333,-0.592031,-0.10439,0.724488,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,3,1,0,,0,-3.648504,-5.548053,1.951031,0.57948,0.006224,-0.235143,0.625403,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,4,1,0,,0,4.993056,4.190983,3.518859,-0.13563,0.307103,0.398014,0.520695,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,5,1,0,,0,-5.552497,0.657186,2.801917,-0.357604,-0.596286,-0.33201,0.770499,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,6,-1,0,,0,3.913538,-4.351322,5.353884,0.488622,0.105911,-0.139283,0.519007,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,7,-1,0,,0,0.98741,7.574688,0.908191,0.420861,-0.32745,0.186951,0.565065,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,8,-1,0,,0,1.498316,0.620231,-6.24291,-0.051039,0.287111,0.213243,0.361262,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,9,1,0,,0,2.284516,4.682914,-5.298234,0.208356,-0.018061,0.138196,0.250672,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,10,-1,0,,0,-4.143425,-4.534787,3.313095,0.113897,0.723326,0.017013,0.732436,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,11,1,0,,0,0.171303,5.292426,-3.768131,0.300111,0.205352,0.438369,0.569564,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,12,1,0,,0,5.308209,4.613065,-0.678198,-0.412365,-0.277968,0.004085,0.497321,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,13,1,0,,0,1.933613,6.660871,0.805391,-0.390667,0.027256,-0.378348,0.544528,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,14,1,0,,0,2.943512,6.833986,0.194202,0.137066,-0.138664,0.208402,0.285388,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,15,1,0,,0,-6.746218,-3.607933,-2.509529,0.187387,-0.644229,-0.431233,0.797564,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,16,-1,0,,0,2.009426,-0.234778,6.025408,0.239237,0.125252,0.029196,0.271615,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,17,-1,0,,0,-2.498831,1.905394,7.300133,0.021494,0.469452,-0.041315,0.471756,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,18,1,0,,0,2.8219,6.746106,0.424368,-0.396326,-0.678681,-0.179378,0.806138,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,19,1,0,,0,2.461069,7.412158,-1.69951,-0.117268,0.190295,-0.63393,0.672184,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,20,-1,0,,0,-1.207535,-3.939674,-4.943248,-0.107501,-0.053602,0.367721,0.386844,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,21,1,0,,0,7.25063,-2.586654,2.108793,-0.419059,0.367691,-0.153371,0.578213,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,22,-1,0,,0,3.866705,3.395758,4.158661,-0.102738,-0.570324,-0.011137,0.57961,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,23,1,0,,0,4.316678,3.664136,-2.597332,-0.235919,0.146348,0.15134,0.316195,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
20260525-190807-sentence-script-a-transparent-3d-cell-me-9e73c0,0,0.02,1,1,1,BALANCE,0,24,-1,0,,0,-7.30553,-1.539564,-3.008988,0.355681,-0.207564,-0.541785,0.680531,0,64,0,64,5,0,-0.72,0.18,0.0008,0.02,0.029994,1010101010,0|0|0|0|0|0|0|0|0|0
