wall_timestamp,run_id,sim_time,round_time,round_index,paused,ai_enabled,ai_mode,ai_human_override,ai_reset_countdown,ai_stagnant_timer,cell_count,max_cells,particle_count,link_count,boundary_cell_count,selected_cell_count,colony_center_x,colony_center_y,colony_center_z,colony_radius,colony_height,avg_speed,packing_score,avg_cell_radius,avg_cell_age,avg_cell_nutrient,avg_cell_z,min_cell_z,max_cell_z,avg_generation,division_multiplier,adhesion_multiplier,packing_bonus,wrap_opacity,cursor_x,cursor_y,cursor_z,cursor_target_x,cursor_target_y,cursor_target_z
2026-05-26T20:04:20.452,20260526-200419-sentence-script-starting-from-a-single-c-d95744,0.018,0.018,1,0,1,NURTURE,0,-1.0,0.0,1,135,24,0,0,0,0.0,0.0,0.0,0.5,0.865585,0.018049,0.0,0.41526,0.018,0.823095,0.450325,0.450325,0.450325,0.0,1.75,0.85,-0.02,0.36,1.690648,0.000361,2.178972,0.449978,0.004455,1.9404
2026-05-26T20:04:20.622,20260526-200419-sentence-script-starting-from-a-single-c-d95744,0.216,0.216,1,0,1,NURTURE,0,-1.0,0.0,1,135,28,0,0,0,0.0,0.0,0.0,0.5,0.91878,0.344009,0.0,0.426524,0.216,0.856095,0.492256,0.492256,0.492256,0.0,1.75,0.85,-0.02,0.36,0.938968,0.021227,2.051186,0.446828,0.053334,1.99291
2026-05-26T20:04:20.794,20260526-200419-sentence-script-starting-from-a-single-c-d95744,0.414,0.414,1,0,1,NURTURE,0,-1.0,0.0,1,135,29,0,0,0,0.0,0.0,0.0,0.5,1.015588,0.521835,0.0,0.434135,0.414,0.889095,0.581453,0.581453,0.581453,0.0,1.75,0.85,-0.02,0.36,0.638241,0.058834,2.053037,0.438385,0.101582,2.096182
2026-05-26T20:04:20.926,20260526-200419-sentence-script-starting-from-a-single-c-d95744,0.612,0.612,1,0,1,NURTURE,0,-1.0,0.0,1,135,31,0,0,0,0.0,0.0,0.0,0.5,1.134367,0.607176,0.0,0.439279,0.612,0.922095,0.695088,0.695088,0.695088,0.0,1.75,0.85,-0.02,0.36,0.512421,0.102454,2.126913,0.424747,0.148626,2.225354
2026-05-26T20:04:21.085,20260526-200419-sentence-script-starting-from-a-single-c-d95744,0.81,0.81,1,0,1,NURTURE,0,-1.0,0.0,1,135,35,0,0,0,0.0,0.0,0.0,0.5,1.262604,0.644271,0.0,0.442755,0.81,0.955095,0.819849,0.819849,0.819849,0.0,1.75,0.85,-0.02,0.36,0.452584,0.147511,2.238963,0.406078,0.193909,2.365819
2026-05-26T20:04:21.210,20260526-200419-sentence-script-starting-from-a-single-c-d95744,1.008,1.008,1,0,1,NURTURE,0,-1.0,0.0,1,135,29,0,0,0,0.0,0.0,0.0,0.5,1.394274,0.658207,0.0,0.445104,1.008,0.988095,0.94917,0.94917,0.94917,0.0,1.75,0.85,-0.02,0.36,0.415838,0.191865,2.37,0.382597,0.236895,2.510474
2026-05-26T20:04:21.386,20260526-200419-sentence-script-starting-from-a-single-c-d95744,1.206,1.206,1,0,1,NURTURE,0,-1.0,0.0,2,135,34,0,1,0,0.153769,-0.007255,0.0,0.722585,1.581216,4.431692,1.0,0.363876,0.511649,0.854536,1.158894,1.017632,1.300155,0.5,1.75,0.85,-0.02,0.36,0.397393,0.233794,2.510592,0.502635,0.270089,2.666688
2026-05-26T20:04:21.601,20260526-200419-sentence-script-starting-from-a-single-c-d95744,1.404,1.404,1,0,1,NURTURE,0,-1.0,0.0,2,135,26,0,1,0,0.193232,-0.009116,0.0,1.014726,1.938537,1.365013,0.0,0.390701,0.709649,0.871036,1.314908,1.024917,1.604899,0.5,1.75,0.85,-0.02,0.36,0.470252,0.272969,2.778036,0.536775,0.328614,3.091893
2026-05-26T20:04:21.820,20260526-200419-sentence-script-starting-from-a-single-c-d95744,1.602,1.602,1,0,1,NURTURE,0,-1.0,0.0,2,135,23,0,1,0,0.223286,-0.010534,0.0,1.186819,2.214022,1.085619,0.0,0.408829,0.907649,0.887536,1.47148,1.098105,1.844854,0.5,1.75,0.85,-0.02,0.36,0.53035,0.345324,3.08641,0.583737,0.429598,3.399981
2026-05-26T20:04:22.052,20260526-200419-sentence-script-starting-from-a-single-c-d95744,1.8,1.8,1,0,1,NURTURE,0,-1.0,0.0,2,135,22,0,1,0,0.249716,-0.011781,0.0,1.307532,2.449888,0.904173,0.0,0.421079,1.105649,0.904036,1.625107,1.193504,2.056709,0.5,1.75,0.85,-0.02,0.36,0.567561,0.429459,3.376544,0.593396,0.515849,3.662616
