run_id,wall_time_s,sim_time_s,frame,dt,round_index,paused,ai_enabled,ai_mode,ai_mode_time,ai_stagnation_time,ai_completion_countdown_s,external_free,released,captured,near_membrane,particle_count,mean_particle_speed,active_pits,captured_per_pit,vesicle_count,drifting_vesicles,moving_vesicles,endocytosis_vesicles,internal_vesicles,active_events,motion_score,swirl_strength,diffusion_boost,selected_vesicle_index,selected_x,selected_y,selected_z,selected_state,selected_origin,first_particle_x,first_particle_y,first_particle_z,cell_radius,world_radius
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,0.0033,0.001,1,0.001,1,0,1,ARTIST,0.001,0.0,,80,0,2,16,82,0.106489,1,2.0,8,8,0,0,8,0,0.009236,0.45,0.0,0,-1.10523,0.67568,1.67032,drift,internal,-0.53552,2.16939,-4.77507,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,0.2054,0.2031,18,0.01191,1,0,1,ARTIST,0.2031,0.0,,80,0,2,14,82,0.163601,1,2.0,8,8,0,0,8,0,0.165342,0.45,0.0,0,-1.09919,0.66497,1.66972,drift,internal,-0.52051,2.21595,-4.78389,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,0.408,0.4058,35,0.01181,1,0,1,ARTIST,0.4058,0.0,,80,0,2,13,82,0.18956,1,2.0,8,8,0,0,8,0,0.190606,0.45,0.0,0,-1.09226,0.65911,1.67466,drift,internal,-0.50115,2.26523,-4.78882,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,0.6107,0.6085,52,0.01204,1,0,1,ARTIST,0.6085,0.0,,80,0,2,13,82,0.200348,1,2.0,8,8,0,0,8,0,0.206293,0.45,0.0,0,-1.09143,0.65255,1.68306,drift,internal,-0.48166,2.31408,-4.7867,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,0.8201,0.818,67,0.01647,1,0,1,ARTIST,0.818,0.0,,80,0,2,13,82,0.219589,1,2.0,8,8,0,0,8,0,0.309103,0.45,0.0,0,-1.08872,0.63761,1.69347,drift,internal,-0.45474,2.36281,-4.78247,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,1.0306,1.0285,80,0.01601,1,0,1,ARTIST,1.0285,0.0,,80,0,2,12,82,0.237383,1,2.0,8,8,0,0,8,0,0.326527,0.45,0.0,0,-1.08452,0.62254,1.70526,drift,internal,-0.42567,2.40602,-4.78117,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,1.238,1.2357,93,0.01595,1,0,1,ARTIST,1.2357,0.0,,80,0,2,12,82,0.241436,1,2.0,8,8,0,0,8,0,0.334167,0.45,0.0,0,-1.07458,0.60443,1.72103,drift,internal,-0.4079,2.45471,-4.77149,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,1.447,1.4449,106,0.01601,1,0,1,ARTIST,1.4449,0.0,,80,0,2,12,82,0.246379,1,2.0,8,8,0,0,8,0,0.34126,0.45,0.0,0,-1.06248,0.58116,1.73779,drift,internal,-0.38756,2.50208,-4.77586,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,1.6538,1.6515,119,0.01583,1,0,1,ARTIST,1.6515,0.0,,80,0,2,12,82,0.245669,1,2.0,8,8,0,0,8,0,0.33844,0.45,0.0,0,-1.05405,0.55762,1.75537,drift,internal,-0.37406,2.54994,-4.79223,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,1.8719,1.8684,132,0.01739,1,0,1,ARTIST,1.8684,0.0,,80,0,2,12,82,0.263963,1,2.0,8,8,0,0,8,0,0.400382,0.45,0.0,0,-1.05041,0.53031,1.78351,drift,internal,-0.38345,2.58951,-4.80823,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,2.077,2.0748,144,0.01739,1,0,1,ARTIST,2.0748,0.0,,80,0,2,12,82,0.262984,1,2.0,8,7,1,0,8,0,0.399746,0.45,0.0,0,-1.04079,0.50955,1.8134,drift,internal,-0.39688,2.61347,-4.80773,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,2.2786,2.2763,154,0.01888,1,0,1,ARTIST,2.2763,0.0,,80,0,2,12,82,0.26432,1,2.0,8,7,1,0,8,0,0.440065,0.45,0.0,0,-1.03425,0.49068,1.84294,drift,internal,-0.41522,2.64189,-4.80763,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,2.4867,2.4843,164,0.02252,1,0,1,ARTIST,2.4843,0.0,,80,0,2,12,82,0.263001,1,2.0,8,7,1,0,8,0,0.527376,0.45,0.0,0,-1.02519,0.46827,1.86154,drift,internal,-0.42308,2.67226,-4.81858,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,2.7021,2.6936,173,0.02172,1,0,1,ARTIST,2.6936,0.0,,80,0,2,12,82,0.263244,1,2.0,8,7,1,0,8,0,0.51404,0.45,0.0,0,-1.01578,0.44708,1.88626,drift,internal,-0.42824,2.71008,-4.83287,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,2.9123,2.9093,184,0.01654,1,0,1,ARTIST,2.9093,0.0,,80,0,2,10,82,0.259991,1,2.0,8,7,1,0,8,0,0.38934,0.45,0.0,0,-0.99941,0.42313,1.91348,drift,internal,-0.42899,2.7442,-4.85464,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,3.127,3.1236,197,0.01651,1,0,1,ARTIST,3.1236,0.0,,80,0,2,10,82,0.273189,1,2.0,8,7,1,0,8,0,0.407704,0.45,0.0,0,-0.98079,0.39655,1.92674,drift,internal,-0.43474,2.751,-4.85271,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,3.3324,3.3302,210,0.01565,1,0,1,ARTIST,3.3302,0.0,,80,0,2,10,82,0.266913,1,2.0,8,7,1,0,8,0,0.380358,0.45,0.0,0,-0.96486,0.36637,1.93263,drift,internal,-0.43225,2.74757,-4.84722,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,3.5339,3.5318,223,0.01534,1,0,1,ARTIST,3.5318,0.0,,80,0,2,9,82,0.275224,1,2.0,8,7,1,0,8,0,0.385715,0.45,0.0,0,-0.94715,0.33597,1.93633,drift,internal,-0.43003,2.74517,-4.85583,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,3.7484,3.745,237,0.01539,1,0,1,ARTIST,3.745,0.0,,80,0,2,10,82,0.266734,1,2.0,8,7,1,0,8,0,0.376928,0.45,0.0,0,-0.91859,0.3072,1.93776,drift,internal,-0.44296,2.73475,-4.85749,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,3.9603,3.9582,250,0.01678,1,0,1,ARTIST,3.9582,0.0,,80,0,2,10,82,0.277546,1,2.0,8,7,1,0,8,0,0.428897,0.45,0.0,0,-0.88729,0.28662,1.94027,drift,internal,-0.46202,2.73358,-4.85879,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,4.1639,4.1614,262,0.01702,1,0,1,ARTIST,4.1614,0.0,,80,30,2,40,112,0.469803,2,1.0,7,7,0,0,7,3,0.915832,0.45,0.0,0,-0.8546,0.27325,1.94119,drift,internal,-0.4691,2.73665,-4.8579,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,4.3718,4.3693,274,0.01738,1,0,1,ARTIST,4.3693,0.0,,80,30,2,39,112,0.44588,2,1.0,7,7,0,0,7,3,0.887266,0.45,0.0,0,-0.81811,0.25891,1.95132,drift,internal,-0.47676,2.73849,-4.84752,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,4.5809,4.577,286,0.01728,1,0,1,ARTIST,4.577,0.0,,80,30,2,33,112,0.432277,2,1.0,7,7,0,0,7,3,0.857922,0.45,0.0,0,-0.7746,0.25139,1.96031,drift,internal,-0.48041,2.74823,-4.84862,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,4.7905,4.7878,298,0.01758,1,0,1,ARTIST,4.7878,0.0,,80,30,2,22,112,0.42252,2,1.0,7,7,0,0,7,3,0.856119,0.45,0.0,0,-0.72394,0.23926,1.96408,drift,internal,-0.48442,2.74934,-4.86727,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,4.9989,4.9901,310,0.01587,1,0,1,ARTIST,4.9901,0.0,,80,30,2,14,112,0.409944,2,1.0,7,7,0,0,7,3,0.752151,0.45,0.0,0,-0.67287,0.22431,1.96299,drift,internal,-0.49404,2.75702,-4.90024,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,5.2064,5.1996,323,0.01608,1,0,1,ARTIST,5.1996,0.0,,80,30,2,12,112,0.385411,2,1.0,7,7,0,0,7,0,0.719448,0.45,0.0,0,-0.62333,0.20575,1.96503,drift,internal,-0.5118,2.7736,-4.94457,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,5.4086,5.406,336,0.01603,1,0,1,ARTIST,5.406,0.0,,80,30,2,11,112,0.370685,2,1.0,7,7,0,0,7,0,0.690745,0.45,0.0,0,-0.57436,0.18534,1.96536,drift,internal,-0.52853,2.79433,-4.96355,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,5.6104,5.6079,349,0.0152,1,0,1,ARTIST,5.6079,0.0,,80,30,2,10,112,0.360636,2,1.0,7,7,0,0,7,0,0.6374,0.45,0.0,0,-0.52709,0.16299,1.96831,drift,internal,-0.54714,2.81757,-4.98292,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,5.8151,5.8126,362,0.02496,1,0,1,ARTIST,5.8126,0.0,,80,30,2,10,112,0.342485,2,1.0,7,7,0,0,7,0,0.998317,0.45,0.0,0,-0.47656,0.1474,1.9717,drift,internal,-0.57246,2.83466,-5.00547,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,6.0184,6.0158,376,0.01303,1,0,1,ARTIST,6.0158,0.0,,80,30,2,10,112,0.342096,2,1.0,7,6,1,0,7,0,0.521255,0.45,0.0,0,-0.42209,0.13303,1.9827,drift,internal,-0.6137,2.84102,-5.01679,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,6.2216,6.2191,393,0.01138,1,0,1,ARTIST,6.2191,0.0,,80,30,2,11,112,0.331634,2,1.0,7,6,1,0,7,0,0.443705,0.45,0.0,0,-0.3603,0.11353,1.9975,drift,internal,-0.66335,2.84533,-5.03349,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,6.4247,6.4222,412,0.01024,1,0,1,ARTIST,6.4222,0.0,,80,30,2,11,112,0.320792,2,1.0,7,6,1,0,7,0,0.38987,0.45,0.0,0,-0.29304,0.08793,2.01896,drift,internal,-0.7081,2.84647,-5.04127,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,6.6355,6.6329,428,0.01634,1,0,1,ARTIST,6.6329,0.0,,80,30,2,11,112,0.315616,2,1.0,7,6,1,0,7,0,0.615333,0.45,0.0,0,-0.2298,0.06536,2.04146,drift,internal,-0.74701,2.83676,-5.03595,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,6.8526,6.843,441,0.01601,1,0,1,ARTIST,6.843,0.0,,80,30,2,10,112,0.308877,2,1.0,7,6,1,0,7,0,0.593853,0.45,0.0,0,-0.1675,0.04561,2.07066,drift,internal,-0.79767,2.82118,-5.02868,3.15,7.6
20260526-201238-sentence-script-a-cell-sphere-with-many-90bfd7,7.0576,7.053,454,0.01596,1,0,1,ARTIST,7.053,0.0,,80,30,2,10,112,0.301359,2,1.0,7,6,1,0,7,0,0.581577,0.45,0.0,0,-0.10365,0.02048,2.09412,drift,internal,-0.84017,2.79105,-5.01862,3.15,7.6
