run_id,row_index,wall_elapsed_s,sim_elapsed_s,frame,round,paused,trails_enabled,ai_enabled,ai_mode,ai_time_in_mode_s,ai_stagnant_time_s,ai_completion_time_s,ai_human_override_s,ion_count,inside_count,outside_count,inside_fraction,outside_fraction,open_channel_count,closed_channel_count,total_crossings,attached_ion_count,marked_ion_count,avg_ion_speed,max_ion_speed,mean_radius,mean_inside_radius,mean_outside_radius,global_pressure_bias,global_swirl_strength,electric_field_x,electric_field_y,electric_field_z,channel_open_pattern,channel_attached_counts,wand_x,wand_y,wand_z,sample_note
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,0,0.609857,0.0,0,1,0,1,1,BALANCE,0.0,0.0,0.0,0.0,64,0,64,0.0,1.0,7,3,0,0,0,0.599073,0.836838,7.148976,0.0,7.148976,0.0,0.0,0.0,0.0,0.0,1101011011,0;0;0;0;0;0;0;0;0;0,0.0,0.0,0.0,initial
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,1,0.713712,0.14,7,1,0,1,1,BALANCE,0.14,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.566956,0.861636,7.143791,0.0,7.143791,-0.72,0.18,0.005582,0.02,0.029706,1010101010,0;0;0;0;0;0;0;0;0;0,6.223123,0.323605,0.48013,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,2,0.826757,0.32,16,1,0,1,1,BALANCE,0.32,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.551214,0.938069,7.117742,0.0,7.117742,-0.72,0.18,0.012583,0.02,0.028477,1010101010,0;0;0;0;0;0;0;0;0;0,6.110369,0.738272,1.086668,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,3,0.930453,0.5,25,1,0,1,1,BALANCE,0.5,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.562911,1.025459,7.07107,0.0,7.07107,-0.72,0.18,0.019177,0.02,0.026327,1010101010,0;0;0;0;0;0;0;0;0;0,5.912516,1.149666,1.668208,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,4,1.031565,0.68,34,1,0,1,1,BALANCE,0.68,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.601471,1.121613,7.005128,0.0,7.005128,-0.72,0.18,0.025152,0.02,0.023327,1010101010,0;0;0;0;0;0;0;0;0;0,5.634782,1.555962,2.211495,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,5,1.140919,0.88,44,1,0,1,1,BALANCE,0.88,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.662858,1.217768,6.910547,0.0,6.910547,-0.72,0.18,0.03083,0.02,0.019115,1010101010,0;0;0;0;0;0;0;0;0;0,5.241466,1.999233,2.755468,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,6,1.24884,1.08,54,1,0,1,1,BALANCE,1.08,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.733144,1.267653,6.795399,0.0,6.795399,-0.72,0.18,0.035278,0.02,0.01414,0101010101,0;0;0;0;0;0;0;0;0;0,4.771376,2.431562,3.222418,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,7,1.360435,1.26,63,1,0,1,1,BALANCE,1.26,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.799758,1.303522,6.675207,0.0,6.675207,-0.72,0.18,0.038084,0.02,0.009175,0101010101,0;0;0;0;0;0;0;0;0;0,4.295199,2.809344,3.5667,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,8,1.476264,1.4,70,1,0,1,1,BALANCE,1.4,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.851971,1.336347,6.571513,0.0,6.571513,-0.72,0.18,0.039418,0.02,0.005099,0101010101,0;0;0;0;0;0;0;0;0;0,3.898305,3.094647,3.780063,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,9,1.57898,1.52,76,1,0,1,1,BALANCE,1.52,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.896459,1.35384,6.47602,0.0,6.47602,-0.72,0.18,0.039948,0.02,0.001523,0101010101,0;0;0;0;0;0;0;0;0;0,3.544838,3.332613,3.923049,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,10,1.679926,1.64,82,1,0,1,1,BALANCE,1.64,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.94163,1.379303,6.375771,0.0,6.375771,-0.72,0.18,0.039904,0.02,-0.002074,0101010101,0;0;0;0;0;0;0;0;0;0,3.183439,3.56401,4.028156,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,11,1.78222,1.76,88,1,0,1,1,BALANCE,1.76,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,0.980435,1.378178,6.283475,0.0,6.283475,-0.72,0.18,0.039286,0.02,-0.005642,0101010101,0;0;0;0;0;0;0;0;0;0,2.818289,3.788383,4.094863,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,12,1.884688,1.88,94,1,0,1,1,BALANCE,1.88,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,1.009658,1.440704,6.194668,0.0,6.194668,-0.72,0.18,0.038103,0.02,-0.009129,0101010101,0;0;0;0;0;0;0;0;0;0,2.453594,4.005288,4.123111,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,13,1.989243,2.0,100,1,0,1,1,BALANCE,2.0,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,1.036171,1.488175,6.104512,0.0,6.104512,-0.72,0.18,0.036372,0.02,-0.012484,1010101010,0;0;0;0;0;0;0;0;0;0,2.09354,4.214299,4.113304,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,14,2.093374,2.12,106,1,0,1,1,BALANCE,2.12,0.0,0,0.0,64,0,64,0.0,1.0,5,5,0,0,0,1.055708,1.461754,6.012842,0.0,6.012842,-0.72,0.18,0.034118,0.02,-0.01566,1010101010,0;0;0;0;0;0;0;0;0;0,1.742242,4.415004,4.066304,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,15,2.197184,2.24,112,1,0,1,1,BALANCE,2.24,0.0,0,0.0,64,0,64,0.0,1.0,5,5,2,0,0,1.075355,1.856292,5.925256,0.0,5.925256,-0.72,0.18,0.031373,0.02,-0.018611,1010101010,0;0;0;0;0;0;0;0;0;0,1.403691,4.607006,3.983421,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,16,2.302188,2.36,118,1,0,1,1,BALANCE,2.36,0.0,0,0.0,64,1,63,0.015625,0.984375,5,5,5,1,0,1.074954,2.3578,5.767763,0.265248,5.855104,-0.72,0.18,0.028176,0.02,-0.021294,1010101010,0;0;0;0;0;0;0;0;0;1,1.081705,4.789928,3.866394,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,17,2.405988,2.48,124,1,0,1,1,BALANCE,2.48,0.0,0,0.0,64,1,63,0.015625,0.984375,5,5,11,1,1,1.099448,2.8,5.687018,0.261011,5.773145,-0.72,0.18,0.024575,0.02,-0.02367,1010101010,0;0;0;0;0;0;0;0;0;1,0.779888,4.963409,3.717372,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,18,2.506785,2.6,130,1,0,1,1,BALANCE,2.6,0.0,0,0.0,64,2,62,0.03125,0.96875,5,5,18,2,1,1.08145,3.027202,5.546626,0.260729,5.717139,-0.72,0.18,0.02062,0.02,-0.025707,1010101010,0;0;0;1;0;0;0;0;0;1,0.501581,5.127106,3.538884,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,19,2.607937,2.72,136,1,0,1,1,BALANCE,2.72,0.0,0,0.0,64,2,62,0.03125,0.96875,5,5,25,1,1,1.072851,3.030326,5.491968,0.2619,5.66068,-0.72,0.18,0.016369,0.02,-0.027373,1010101010,0;0;0;1;0;0;0;0;0;1,0.249823,5.280698,3.333814,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,20,2.709428,2.84,142,1,0,1,1,BALANCE,2.84,0.0,0,0.0,64,2,62,0.03125,0.96875,5,5,31,1,2,1.052701,3.03036,5.454178,0.259767,5.62174,-0.72,0.18,0.011882,0.02,-0.028646,1010101010,0;0;0;1;0;0;0;0;0;1,0.027316,5.423881,3.105361,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,21,2.818554,2.96,148,1,0,1,1,BALANCE,2.96,0.0,0,0.0,64,2,62,0.03125,0.96875,5,5,34,1,2,1.020019,2.8,5.432732,0.256418,5.59971,-0.72,0.18,0.007224,0.02,-0.029507,1010101010,0;0;0;1;0;0;0;0;0;1,-0.163609,5.556374,2.856998,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,22,2.932931,3.1,155,1,0,1,1,BALANCE,3.1,0.0,0,0.0,64,3,61,0.046875,0.953125,5,5,35,1,2,0.945278,2.334057,5.337844,0.251335,5.588,-0.72,0.18,0.001663,0.02,-0.029974,0101010101,0;0;0;1;1;0;0;0;0;1,-0.343889,5.69709,2.547039,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,23,3.035421,3.22,161,1,0,1,1,BALANCE,3.22,0.0,0.04,0.0,64,3,61,0.046875,0.953125,5,5,36,1,3,0.920804,2.156545,5.317112,0.225212,5.567533,-0.72,0.18,-0.003133,0.02,-0.029908,0101010101,0;0;0;1;1;0;0;0;0;1,-0.460332,5.805552,2.268514,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,24,3.138828,3.34,167,1,0,1,1,BALANCE,3.34,0.0,0.16,0.0,64,3,61,0.046875,0.953125,5,5,39,1,3,0.902112,2.536506,5.298076,0.205871,5.548513,-0.72,0.18,-0.007884,0.02,-0.029411,0101010101,0;0;0;1;1;0;0;0;0;1,-0.540554,5.902572,1.982409,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,25,3.244486,3.46,173,1,0,1,1,BALANCE,3.46,0.0,0.28,0.0,64,3,61,0.046875,0.953125,5,5,42,0,3,0.889714,3.026515,5.277174,0.196881,5.527024,-0.72,0.18,-0.012522,0.02,-0.028492,0101010101,0;0;0;1;1;0;0;0;0;1,-0.584019,5.987957,1.692864,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,26,3.346139,3.58,179,1,0,1,1,BALANCE,3.58,0.0,0.4,0.0,64,3,61,0.046875,0.953125,5,5,45,0,3,0.860517,2.8,5.263509,0.182997,5.51337,-0.72,0.18,-0.01698,0.02,-0.027163,0101010101,0;0;0;1;1;0;0;0;0;1,-0.590652,6.06154,1.404051,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,27,3.449301,3.7,185,1,0,1,1,BALANCE,3.7,0.0,0.52,0.0,64,3,61,0.046875,0.953125,5,5,48,0,3,0.833517,2.8,5.265231,0.177314,5.515457,-0.72,0.18,-0.021193,0.02,-0.025443,0101010101,0;0;0;1;1;0;0;0;0;1,-0.560841,6.123176,1.120123,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,28,3.550937,3.82,191,1,0,1,1,BALANCE,3.82,0.0,0.64,0.0,64,3,61,0.046875,0.953125,5,5,52,0,3,0.800648,3.028945,5.283362,0.197717,5.533476,-0.72,0.18,-0.025102,0.02,-0.023357,0101010101,0;0;0;1;1;0;0;0;0;1,-0.495428,6.172742,0.845166,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,29,3.655436,3.94,197,1,0,1,1,BALANCE,3.94,0.0,0.76,0.0,64,3,61,0.046875,0.953125,5,5,55,0,3,0.764071,2.8,5.300157,0.21458,5.550268,-0.72,0.18,-0.02865,0.02,-0.020935,0101010101,0;0;0;1;1;0;0;0;0;1,-0.395707,6.210142,0.583141,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,30,3.760341,4.06,203,1,0,1,1,BALANCE,4.06,0.0,0.88,0.0,64,4,60,0.0625,0.9375,5,5,56,1,3,0.69596,1.544892,5.241933,0.237714,5.575547,-0.72,0.18,-0.031785,0.02,-0.018213,1010101010,0;0;0;1;1;0;0;1;0;1,-0.263399,6.235301,0.337846,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,31,3.864741,4.18,209,1,0,1,1,BALANCE,4.18,0.0,1.0,0.0,64,4,60,0.0625,0.9375,5,5,56,1,3,0.672463,1.425988,5.258188,0.234589,5.593095,-0.72,0.18,-0.034464,0.02,-0.015228,1010101010,0;0;0;1;1;0;0;1;0;1,-0.100636,6.248171,0.11286,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,32,3.969063,4.3,215,1,0,1,1,BALANCE,4.3,0.0,1.12,0.0,64,4,60,0.0625,0.9375,5,5,56,1,3,0.645803,1.267436,5.277512,0.237691,5.6135,-0.72,0.18,-0.036647,0.02,-0.012024,1010101010,0;0;0;1;1;0;0;1;0;1,0.090065,6.248724,-0.088493,running
20260526-203113-sentence-script-a-transparent-3d-cell-me-ee273c,33,4.072802,4.42,221,1,0,1,1,BALANCE,4.42,0.0,1.24,0.0,64,4,60,0.0625,0.9375,5,5,56,1,3,0.626515,1.13317,5.288325,0.247434,5.624385,-0.72,0.18,-0.038302,0.02,-0.008647,1010101010,0;0;0;1;1;0;0;1;0;1,0.305837,6.236962,-0.263191,running
