run_id,frame,elapsed_seconds,ai_enabled,ai_mode,ai_round,paused,selected_alveolus,probe_x,probe_y,probe_z,probe_vx,probe_vy,probe_vz,breathing_phase,breathing_rate,breathing_amplitude,blood_flow_speed,membrane_permeability,avg_capillary_saturation,avg_carrier_saturation,air_o2_count,air_co2_count,blood_o2_count,blood_co2_count,o2_to_blood_transfers,co2_to_air_transfers,attach_count,detach_count,collision_count,spill_count,mark_count,reset_count,tissue_exchange_count,exhaled_count,stagnation_timer,completion_timer,alveolus_1_radius,alveolus_2_radius,alveolus_3_radius,alveolus_4_radius,alveolus_5_radius,path_1_saturation,path_2_saturation,path_3_saturation,path_4_saturation,path_5_saturation
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,23,0.2508,1,careful_breath,1,0,4,2.01666,-0.5621,0.33565,11.6545,-4.31929,0.4485,1.2751,0.79064,0.105,1.0,1.04404,0.37688,0.30373,80,36,10,39,0,11,0,11,0,0,1,0,0,0,0.08077,0.0,0.94613,0.98728,1.11289,0.96263,1.03698,0.40151,0.37065,0.40254,0.38417,0.32551
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,62,0.5171,1,careful_breath,1,0,4,2.4018,-0.65348,0.62623,-0.24577,0.10367,0.30253,2.56901,0.75918,0.105,1.0,1.09123,0.34628,0.30373,80,42,10,33,0,17,0,17,0,0,1,0,0,0,0.24753,0.0,0.90869,0.9482,1.06885,0.92453,0.99594,0.37206,0.32386,0.36376,0.36158,0.31016
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,82,0.7779,1,careful_breath,1,0,4,2.11707,-0.57362,0.83109,-1.41738,0.30522,0.77411,3.8052,0.74896,0.105,1.0,1.10656,0.33467,0.30373,81,42,10,32,0,18,0,18,41,0,1,0,0,1,0.46802,0.0,0.80417,0.83914,0.9459,0.81819,0.88138,0.35646,0.3171,0.34913,0.35137,0.29927
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,109,1.0281,1,careful_breath,1,0,4,1.78505,-0.52526,1.02126,-1.1486,0.06859,0.85263,4.97513,0.73926,0.105,1.0,1.12112,0.32518,0.30373,81,44,10,30,0,20,0,20,141,0,1,0,0,1,0.66167,0.0,0.7726,0.80619,0.90877,0.78607,0.84678,0.34268,0.30859,0.34258,0.34237,0.28966
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,130,1.2813,1,careful_breath,1,0,4,1.58838,-0.53599,1.22216,-0.7556,-0.12735,0.91485,6.14625,0.73402,0.105,1.0,1.12897,0.3183,0.30373,81,44,10,30,0,20,0,20,141,0,1,0,0,1,0.91488,0.0,0.84745,0.8843,0.99682,0.86223,0.92882,0.33576,0.299,0.33407,0.33783,0.28483
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,145,1.5377,1,careful_breath,1,0,4,1.33952,-0.59529,1.47479,-1.17421,-0.32147,0.90458,7.32677,0.73118,0.105,1.0,1.13324,0.31807,0.30373,81,46,10,28,0,22,0,22,141,0,1,0,0,1,1.06748,0.0,0.93779,0.97857,1.10308,0.95414,1.02784,0.34086,0.29405,0.3376,0.33549,0.28233
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,160,1.7951,1,careful_breath,1,0,4,0.99003,-0.7014,1.60641,-1.43718,-0.4766,0.07611,8.50763,0.72891,0.105,1.0,1.13664,0.31902,0.30373,81,49,10,25,0,25,0,25,141,0,1,0,0,1,1.1711,0.0,0.93144,0.97195,1.09561,0.94768,1.02088,0.34357,0.29793,0.33237,0.3337,0.28753
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,175,2.0557,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,-1.27125,-0.56638,-0.77071,9.69953,0.7271,0.105,1.0,1.13935,0.32077,0.29979,81,48,11,25,1,25,1,25,141,0,1,0,0,2,1.27519,0.0,0.83528,0.87161,0.9825,0.84985,0.91548,0.37036,0.29324,0.32838,0.32748,0.28438
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,190,2.3146,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,10.88241,0.7271,0.105,1.0,1.13935,0.31569,0.29979,82,47,11,25,1,25,1,25,251,0,1,0,0,3,1.27519,0.0,0.77008,0.80356,0.9058,0.7835,0.84402,0.35975,0.28966,0.32534,0.32169,0.28198
20260527-223837-sentence-script-a-cluster-of-semi-transp-5ee96f,207,2.5773,1,careful_breath,1,0,4,0.63023,-0.83999,1.4976,0.0,0.0,0.0,12.08242,0.7271,0.105,1.0,1.13935,0.31318,0.29979,82,48,11,24,1,26,1,26,269,0,1,0,0,3,1.27519,0.0,0.81777,0.85333,0.96191,0.83203,0.89629,0.35075,0.28664,0.32278,0.31679,0.28896
