run_id,frame,elapsed_seconds,sim_time,phase_progress,stage,ai_enabled,ai_mode,paused,loop_count,reset_count,last_reset_reason,selected_chromosome,selected_x,selected_y,selected_z,selected_vx,selected_vy,selected_vz,left_pole_x,left_pole_y,left_pole_z,right_pole_x,right_pole_y,right_pole_z,left_daughter_membrane_x,right_daughter_membrane_x,cleavage_band_radius,alignment_error,average_chromatid_separation,attached_spindle_ends,particle_bounce_count,mark_count,stagnation_seconds,completion_timer,membrane_opacity,nucleus_opacity
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,6,0.0600,0.0609,0.00163,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.59915,0.01456,0.36729,0.08432,0.11634,-0.04243,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.71650,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,12,0.1319,0.1329,0.00354,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.59298,0.02275,0.36420,0.08662,0.11212,-0.04326,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.71820,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,18,0.2036,0.2045,0.00545,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.58671,0.03061,0.36105,0.08814,0.10815,-0.04462,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.71993,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,24,0.2735,0.2744,0.00732,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.58051,0.03802,0.35786,0.08889,0.10449,-0.04637,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.72165,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,30,0.3422,0.3431,0.00915,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.57440,0.04506,0.35459,0.08897,0.10105,-0.04845,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.72337,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,36,0.4101,0.4110,0.01096,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.56837,0.05179,0.35121,0.08844,0.09777,-0.05078,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.72508,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,42,0.4773,0.4783,0.01275,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.56247,0.05824,0.34770,0.08736,0.09460,-0.05331,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.72680,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,48,0.5443,0.5453,0.01454,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.55667,0.06446,0.34402,0.08576,0.09149,-0.05599,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.72851,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,54,0.6105,0.6114,0.01630,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.55108,0.07039,0.34021,0.08369,0.08845,-0.05875,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.73020,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,60,0.6765,0.6774,0.01806,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.54565,0.07612,0.33623,0.08118,0.08543,-0.06159,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.73189,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,66,0.7713,0.7722,0.02059,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.53818,0.08399,0.33016,0.07695,0.08124,-0.06565,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.73430,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,72,0.8717,0.8727,0.02327,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.53076,0.09187,0.32331,0.07152,0.07655,-0.07001,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.73681,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,78,0.9725,0.9735,0.02596,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.52391,0.09931,0.31600,0.06525,0.07175,-0.07429,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.73928,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,84,1.0738,1.0747,0.02866,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.51772,0.10628,0.30824,0.05822,0.06683,-0.07839,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.74167,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,90,1.1751,1.1760,0.03136,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.51227,0.11276,0.30007,0.05054,0.06176,-0.08224,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.74398,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,96,1.2764,1.2773,0.03406,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.50763,0.11870,0.29153,0.04231,0.05655,-0.08575,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.74618,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,102,1.3780,1.3790,0.03677,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.50384,0.12413,0.28262,0.03359,0.05118,-0.08889,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.74825,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,108,1.4790,1.4800,0.03947,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.50098,0.12898,0.27348,0.02455,0.04570,-0.09156,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75017,0.11000,0,0,1,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,114,1.5799,1.5808,0.04216,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.48297,0.13544,0.28264,-0.01458,0.03605,-0.12813,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.74999,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,120,1.6810,1.6820,0.04485,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.48470,0.13879,0.26993,-0.01907,0.03099,-0.12402,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75191,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,126,1.7820,1.7830,0.04755,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.48694,0.14161,0.25762,-0.02449,0.02572,-0.12033,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75359,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,132,1.8827,1.8836,0.05023,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.48976,0.14389,0.24571,-0.03061,0.02029,-0.11691,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75503,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
20260527-224411-sentence-script-a-single-cell-sphere-wit-a6b927,138,1.9833,1.9842,0.05291,Interphase: loose chromatin drifts,1,constructive,0,0,0,initial,0,-0.49322,0.14560,0.23414,-0.03723,0.01471,-0.11359,-0.25000,0.00000,0.00000,0.25000,0.00000,0.00000,-0.00000,0.00000,3.00000,0.75624,0.11000,0,0,2,0.00000,0.00000,0.17000,0.20000
