run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,left_fork_paused,right_fork_paused
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,21,0.261,1,0,1,careful,careful,0.05058,0.07627,-0.07627,0.00000,0.00000,0.07627,0.00000,0.00000,0.64664,0.09118,0.60000,0.07500,0.00000,10,0,10,0,0,0,0,0,0.23435,-0.18145,0.29245,1,0.18451,0.34316,0.25449,1,0.00000,0.00000,0,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,39,0.511,1,0,1,careful,careful,0.07630,0.26554,-0.26554,0.00000,0.00000,0.26554,0.00000,0.00000,0.62002,0.08206,0.59858,0.07500,0.00000,10,0,10,0,0,0,0,0,-0.25315,-0.51130,0.13974,1,0.28502,0.06568,0.52882,1,0.00000,0.00000,0,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,57,0.763,1,0,1,careful,careful,0.10021,0.44924,-0.44924,0.00000,0.00000,0.44924,0.00000,0.00000,0.60666,0.07808,0.59447,0.07500,0.00000,10,0,10,0,0,0,0,0,-0.46117,-0.50780,-0.19195,1,0.46360,-0.27033,0.47033,1,0.00000,0.00000,0,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,73,1.022,1,0,1,careful,careful,0.11690,0.49966,-0.49966,0.00000,0.00000,0.49966,0.00000,0.00000,0.14801,0.04446,0.58751,0.07500,0.00000,10,0,10,0,0,0,0,0,-0.56583,-0.31961,-0.43868,1,0.56607,-0.48521,0.24249,1,0.00000,0.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,90,1.277,1,0,1,careful,careful,0.12763,0.49966,-0.49966,0.00000,0.00000,0.49966,0.00000,0.00000,0.01685,0.03497,0.57814,0.07500,0.00000,10,0,10,0,0,0,0,0,-0.57845,-0.00048,-0.54214,1,0.57847,-0.53388,-0.09242,1,0.00000,0.23333,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,109,1.540,1,0,1,careful,careful,0.13845,0.49966,-0.49966,0.00000,0.00000,0.49966,0.00000,0.00000,0.00148,0.03386,0.56608,0.07500,0.00000,10,2,10,0,1,0,0,2,-0.57958,0.35570,-0.40810,1,0.57958,-0.33940,-0.42158,1,0.00000,0.55000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,126,1.803,1,0,1,careful,careful,0.14802,0.49966,-0.49966,0.00000,0.00000,0.49966,0.00000,0.00000,0.00017,0.03376,0.55186,0.07500,0.00000,10,3,10,0,1,0,0,3,-0.57965,0.53008,-0.10629,1,0.57965,-0.01128,-0.54045,1,0.00000,0.83333,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,140,2.058,1,0,1,careful,careful,0.15590,0.49966,-0.49966,0.00000,0.00000,0.49966,0.00000,0.00000,0.00003,0.03375,0.53637,0.07500,0.00000,10,3,10,0,1,0,0,3,-0.57966,0.50726,0.18559,1,0.57966,0.27273,-0.46610,1,0.00000,1.06667,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,154,2.317,1,0,1,careful,careful,0.16378,0.49966,-0.49966,0.00000,0.00000,0.49966,0.00000,0.00000,0.00000,0.03375,0.51933,0.07500,0.00000,10,4,10,0,1,0,0,4,-0.57966,0.33282,0.42480,1,0.57966,0.47763,-0.25080,1,0.00000,1.30000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,168,2.568,1,0,1,careful,careful,0.17165,0.49966,-0.49966,0.00000,0.00000,0.49966,0.00000,0.00000,0.00000,0.03375,0.50185,0.07500,0.00000,10,2,10,0,3,2,0,4,-0.57966,0.05483,0.53636,1,0.57966,0.53710,0.04438,1,0.00000,1.53333,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,182,2.818,1,0,1,careful,careful,0.17972,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00622,0.03427,0.48397,0.07500,0.00000,10,1,10,0,4,3,0,4,-0.57996,-0.24205,0.48138,1,0.57996,0.42744,0.32761,1,0.00000,1.76667,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,196,3.075,1,0,1,careful,careful,0.18765,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00104,0.03384,0.46552,0.07500,0.00000,10,3,10,0,4,3,0,6,-0.58002,-0.46408,0.27297,1,0.58002,0.18005,0.50724,1,0.00000,2.00000,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,209,3.326,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,3,10,0,4,3,0,6,-0.58003,-0.53799,-0.00332,1,0.58003,-0.10521,0.52762,1,0.00000,1.86667,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,223,3.588,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,3,10,0,4,3,0,6,-0.58003,-0.44640,-0.29955,1,0.58003,-0.37825,0.38213,1,0.00000,1.69167,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,237,3.852,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,3,10,0,4,3,0,6,-0.58003,-0.20487,-0.49674,1,0.58003,-0.52643,0.10723,1,0.00000,1.51667,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,250,4.108,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,2,10,0,4,4,0,6,-0.58003,0.08492,-0.53030,1,0.58003,-0.50425,-0.18450,1,0.00000,1.35417,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,261,4.428,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,1,10,0,4,5,0,6,-0.58003,0.31501,-0.43467,1,0.58003,-0.36602,-0.39252,1,0.00000,1.21667,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,270,4.687,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.45493,-0.28470,1,0.58003,-0.19091,-0.50132,1,0.00000,1.10417,1,0
20260527-232830-sentence-script-a-coiled-chromosome-fibe-eb0861,277,4.960,1,1,1,careful,human override,0.18821,0.50003,-0.50003,0.00000,0.00000,0.50003,0.00000,0.00000,0.00091,0.03383,0.46422,0.07500,0.00000,10,0,10,0,4,6,0,6,-0.58003,0.51863,-0.13750,1,0.58003,-0.03308,-0.53524,1,0.00000,1.01667,1,0
