run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,left_fork_paused,right_fork_paused
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,22,0.254,1,0,1,careful,careful,0.05209,0.07679,-0.07679,0.00000,0.00000,0.07679,0.00000,0.00000,0.56008,0.09045,0.47440,0.07500,0.00000,10,0,10,0,0,0,0,0,0.18527,-0.21735,0.29794,1,0.17774,0.33355,0.28584,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,42,0.506,1,0,1,careful,careful,0.08037,0.25402,-0.25402,0.00000,0.00000,0.25402,0.00000,0.00000,0.51510,0.08115,0.49251,0.07500,0.00000,10,0,10,0,0,0,0,0,-0.26103,-0.52845,0.08546,1,0.28177,0.00978,0.53668,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,62,0.769,1,0,1,careful,careful,0.10668,0.42385,-0.42385,0.00000,0.00000,0.42385,0.00000,0.00000,0.50806,0.07745,0.51114,0.07500,0.00000,10,0,10,0,0,0,0,0,-0.44775,-0.46326,-0.28298,1,0.44894,-0.34959,0.41511,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,77,1.023,1,0,1,careful,careful,0.12587,0.55161,-0.55161,0.00000,0.00000,0.55161,0.00000,0.00000,0.51477,0.07623,0.52833,0.07500,0.00000,10,0,10,0,0,0,0,0,-0.57605,-0.24627,-0.48323,1,0.57618,-0.51490,0.17036,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,94,1.285,1,0,1,careful,careful,0.14735,0.69932,-0.69932,0.00000,0.00000,0.69932,0.00000,0.00000,0.52759,0.07556,0.54494,0.07500,0.00000,10,2,10,0,0,0,0,2,-0.72268,0.08957,-0.53421,1,0.72269,-0.51434,-0.16964,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,111,1.535,1,0,1,careful,careful,0.16871,0.85093,-0.85093,0.00000,0.00000,0.85093,0.00000,0.00000,0.54177,0.07526,0.55930,0.07500,0.00000,10,2,10,0,0,0,0,2,-0.87282,0.39369,-0.37113,1,0.87282,-0.30536,-0.44641,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,127,1.799,1,0,1,careful,careful,0.18876,0.99726,-0.99726,0.00000,0.00000,0.99726,0.00000,0.00000,0.55491,0.07512,0.57249,0.07500,0.00000,10,1,10,0,0,1,0,2,-1.01773,0.53555,-0.07189,1,1.01773,0.01283,-0.54014,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,142,2.067,1,0,1,careful,careful,0.20753,1.13762,-1.13762,0.00000,0.00000,1.13762,0.00000,0.00000,0.56702,0.07506,0.58354,0.07500,0.00000,10,1,10,0,0,1,0,2,-1.15676,0.48372,0.23951,1,1.15676,0.31262,-0.43995,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,156,2.324,1,0,1,careful,careful,0.22504,1.27122,-1.27122,0.00000,0.00000,1.27122,0.00000,0.00000,0.57720,0.07503,0.59165,0.07500,0.00000,10,1,10,0,0,1,0,2,-1.28920,0.28221,0.45961,1,1.28920,0.49861,-0.20508,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,170,2.585,1,0,1,careful,careful,0.24254,1.40701,-1.40701,0.00000,0.00000,1.40701,0.00000,0.00000,0.58571,0.07502,0.59714,0.07500,0.00000,10,0,10,0,0,1,0,2,-1.42398,-0.00863,0.53881,1,1.42398,0.52985,0.09671,1,0.00000,0.00000,0,0
20260527-233239-sentence-script-a-coiled-chromosome-fibe-a410db,184,2.842,1,0,1,careful,human override,0.26005,1.54449,-1.54449,0.00000,0.00000,1.54449,0.00000,0.00000,0.59175,0.07501,0.59863,0.07500,0.00000,10,1,10,0,0,1,0,3,-1.56068,-0.29901,0.44780,1,1.56068,0.39168,0.36923,1,0.00000,0.00000,0,0
