run_id,frame,elapsed_seconds,round,paused,ai_enabled,ai_mode,simulation_mode_note,unfold_progress,fork_distance,left_fork_x,left_fork_y,left_fork_z,right_fork_x,right_fork_y,right_fork_z,replication_speed,unfold_speed,target_replication_speed,target_unfold_speed,chaos_level,attached_enzyme_count,active_particle_count,attachment_count,detachment_count,collision_count,transfer_count,mark_count,spill_count,enzyme0_x,enzyme0_y,enzyme0_z,enzyme0_attached,enzyme1_x,enzyme1_y,enzyme1_z,enzyme1_attached,completion_hold,ai_stagnation_seconds,active_loop_count
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,20,0.262,1,0,1,careful,careful,0.04906,0.05447,-0.05447,0.00000,0.00000,0.05447,0.00000,0.00000,0.52791,0.09194,0.39328,0.07500,0.00000,10,0,10,0,0,0,0,0,0.29848,-0.14308,0.28260,1,0.18482,0.35187,0.21965,1,0.00000,0.00000,1
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,40,0.513,1,0,1,careful,careful,0.07766,0.21365,-0.21365,0.00000,0.00000,0.21365,0.00000,0.00000,0.44261,0.08175,0.38182,0.07500,0.00000,10,0,10,0,0,0,0,0,-0.22185,-0.51815,0.12088,1,0.24947,0.04501,0.53230,1,0.00000,0.00000,1
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,60,0.773,1,0,1,careful,careful,0.10410,0.35342,-0.35342,0.00000,0.00000,0.35342,0.00000,0.00000,0.40260,0.07769,0.37229,0.07500,0.00000,10,1,10,0,1,0,0,1,-0.38730,-0.48363,-0.24692,1,0.38888,-0.32335,0.43548,1,0.00000,0.00000,2
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,75,1.037,1,0,1,careful,careful,0.12332,0.45162,-0.45162,0.00000,0.00000,0.45162,0.00000,0.00000,0.38533,0.07635,0.36529,0.07500,0.00000,10,1,10,0,1,0,0,1,-0.48892,-0.28498,-0.46182,1,0.48910,-0.50395,0.19986,1,0.00000,0.00000,2
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,89,1.302,1,0,1,careful,careful,0.14105,0.54010,-0.54010,0.00000,0.00000,0.54010,0.00000,0.00000,0.37455,0.07571,0.36116,0.07500,0.00000,10,1,10,0,1,0,0,1,-0.57896,-0.01834,-0.54181,1,0.57898,-0.53548,-0.08087,1,0.00000,0.00000,2
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,103,1.568,1,0,1,careful,careful,0.15867,0.62657,-0.62657,0.00000,0.00000,0.62657,0.00000,0.00000,0.36775,0.07537,0.36003,0.07500,0.00000,10,1,10,0,1,0,0,1,-0.66639,0.25625,-0.47715,1,0.66639,-0.41856,-0.34272,1,0.00000,0.00000,2
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,116,1.818,1,0,1,careful,careful,0.17498,0.70584,-0.70584,0.00000,0.00000,0.70584,0.00000,0.00000,0.36463,0.07520,0.36175,0.07500,0.00000,10,0,10,0,1,1,0,1,-0.74616,0.45214,-0.29724,1,0.74616,-0.20036,-0.50198,1,0.00000,0.00000,3
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,130,2.075,1,0,1,careful,careful,0.19251,0.79084,-0.79084,0.00000,0.00000,0.79084,0.00000,0.00000,0.36446,0.07511,0.36628,0.07500,0.00000,10,0,10,0,1,1,0,1,-0.83134,0.54010,-0.02071,1,0.83134,0.09164,-0.53219,1,0.00000,0.00000,4
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,146,2.339,1,0,1,careful,careful,0.21253,0.88841,-0.88841,0.00000,0.00000,0.88841,0.00000,0.00000,0.36768,0.07505,0.37374,0.07500,0.00000,10,0,10,0,1,1,0,1,-0.92873,0.44800,0.30130,1,0.92873,0.38973,-0.37309,1,0.00000,0.00000,6
20260527-233410-sentence-script-a-coiled-chromosome-fibe-88d0cc,163,2.592,1,0,1,careful,careful,0.23379,0.99347,-0.99347,0.00000,0.00000,0.99347,0.00000,0.00000,0.37400,0.07502,0.38339,0.07500,0.00000,10,0,10,0,1,1,0,1,-1.03323,0.15837,0.51546,1,1.03323,0.53735,-0.04236,1,0.00000,0.00000,7
