run_id,row_index,timestamp_iso,wall_elapsed_s,configured_run_seconds,round_index,cycle_time,total_duration,current_phase,current_phase_progress,completed,paused,human_speed,ai_speed,combined_speed,current_radius,cell_body_count,parent_visible,parent_pos,parent_radius,parent_opacity,nucleus_visible,nucleus_pos,nucleus_radius,nucleus_opacity,daughter_left_visible,daughter_left_pos,daughter_left_radius,daughter_left_opacity,daughter_right_visible,daughter_right_pos,daughter_right_radius,daughter_right_opacity,cleavage_groove_visible,cleavage_groove_radius,cleavage_groove_opacity,dna_count,duplicated_dna_visible_count,dna_avg_distance_from_cell_center,free_particle_count,attached_particle_count,particle_behavior_counts_json,particle_avg_y,particle_avg_speed,ai_enabled,ai_paused,ai_mode,ai_previous_mode,ai_mode_timer,ai_mode_duration,ai_stagnation_timer,ai_completion_timer,ai_helper_pos,ai_override_timer,clock_pointer_tip_pos
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,0,2026-05-26T19:35:45.548,0.0,60.0,1,0.0165,26.0,G1,0.002361,0,0,1.0,0.9917,0.9917,0.55037,1,1,"-2.55,0.05,0.0",0.55037,0.62,1,"-2.55,0.05,0.0",0.231155,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.118337,22,0,"{""attach"": 21, ""organize"": 1}",0.031665,0.158155,1,0,ORGANIZE,OBSERVE,0.0167,4.2603,0.0058,0.0,"0.148322,1.212889,0.0",0.0,"2.455284,1.422989,0.0"
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,1,2026-05-26T19:35:45.654,0.1058,60.0,1,0.1597,26.0,G1,0.02282,0,0,1.0,0.9281,0.9281,0.553575,1,1,"-2.55,0.05,0.0",0.553575,0.62,1,"-2.55,0.05,0.0",0.232502,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.119026,23,0,"{""attach"": 18, ""organize"": 5}",0.076028,0.169314,1,0,ORGANIZE,OBSERVE,0.1667,4.2603,0.0667,0.0,"1.27549,0.980074,0.0",0.0,"2.50106,1.422014,0.0"
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,2,2026-05-26T19:35:45.753,0.2052,60.0,1,0.2802,26.0,G1,0.040028,0,0,1.0,0.8858,0.8858,0.556271,1,1,"-2.55,0.05,0.0",0.556271,0.62,1,"-2.55,0.05,0.0",0.233634,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.119605,23,0,"{""attach"": 17, ""organize"": 6}",0.074177,0.19599,1,0,ORGANIZE,OBSERVE,0.3,4.2603,0.0167,0.0,"2.01208,0.897212,0.0",0.0,"2.539514,1.419968,0.0"
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,3,2026-05-26T19:35:45.850,0.3019,60.0,1,0.3958,26.0,G1,0.056541,0,0,1.0,0.8535,0.8535,0.558858,1,1,"-2.55,0.05,0.0",0.558858,0.62,1,"-2.55,0.05,0.0",0.23472,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.120162,26,0,"{""attach"": 17, ""organize"": 9}",0.165951,0.228237,1,0,ORGANIZE,OBSERVE,0.4333,4.2603,0.0167,0.0,"2.550342,0.899552,0.0",0.0,"2.576347,1.416953,0.0"
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,4,2026-05-26T19:35:45.958,0.41,60.0,1,0.5214,26.0,G1,0.074492,0,0,1.0,0.8263,0.8263,0.56167,1,1,"-2.55,0.05,0.0",0.56167,0.62,1,"-2.55,0.05,0.0",0.235902,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.120766,29,0,"{""attach"": 14, ""organize"": 15}",0.236762,0.270667,1,0,ORGANIZE,OBSERVE,0.5833,4.2603,0.0333,0.0,"2.965534,0.973881,0.0",0.0,"2.616275,1.41251,0.0"
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,5,2026-05-26T19:35:46.051,0.5036,60.0,1,0.6302,26.0,G1,0.09003,0,0,1.0,0.8082,0.8082,0.564105,1,1,"-2.55,0.05,0.0",0.564105,0.62,1,"-2.55,0.05,0.0",0.236924,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.12129,29,0,"{""attach"": 14, ""organize"": 15}",0.228678,0.301611,1,0,ORGANIZE,OBSERVE,0.7167,4.2603,0.0667,0.0,"3.197599,1.081929,0.0",0.0,"2.650711,1.407687,0.0"
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,6,2026-05-26T19:35:46.155,0.6076,60.0,1,0.7501,26.0,G1,0.107158,0,0,1.0,0.7929,0.7929,0.566788,1,1,"-2.55,0.05,0.0",0.566788,0.62,1,"-2.55,0.05,0.0",0.238051,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.121867,30,0,"{""attach"": 12, ""organize"": 18}",0.253353,0.352268,1,0,ORGANIZE,OBSERVE,0.8667,4.2603,0.1,0.0,"3.334049,1.229998,0.0",0.0,"2.68851,1.401323,0.0"
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,7,2026-05-26T19:35:46.259,0.7111,60.0,1,0.8681,26.0,G1,0.124008,0,0,1.0,0.7816,0.7816,0.569428,1,1,"-2.55,0.05,0.0",0.569428,0.62,1,"-2.55,0.05,0.0",0.23916,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.122434,31,0,"{""attach"": 10, ""organize"": 21}",0.275763,0.389019,1,0,ORGANIZE,OBSERVE,1.0167,4.2603,0.0,0.0,"3.363363,1.388316,0.0",0.0,"2.725501,1.393997,0.0"
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,8,2026-05-26T19:35:46.359,0.8116,60.0,1,0.9459,26.0,G1,0.135124,0,0,1.0,0.7758,0.7758,0.571169,1,1,"-2.55,0.05,0.0",0.571169,0.62,1,"-2.55,0.05,0.0",0.239891,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.122809,33,0,"{""attach"": 9, ""organize"": 24}",0.338253,0.420427,1,0,ORGANIZE,OBSERVE,1.1167,4.2603,0.0333,0.0,"3.333939,1.491987,0.0",0.0,"2.749784,1.388588,0.0"
20260526-193544-sentence-script-a-single-cell-sphere-gra-d3516f,9,2026-05-26T19:35:46.459,0.9119,60.0,1,1.0232,26.0,G1,0.146166,0,0,1.0,0.771,0.771,0.572899,1,1,"-2.55,0.05,0.0",0.572899,0.62,1,"-2.55,0.05,0.0",0.240618,0.25,0,"-2.55,0.05,0.0",0.05,0.0,0,"-2.55,0.05,0.0",0.05,0.0,0,0.3025,0.0,12,0,0.123181,34,0,"{""attach"": 7, ""organize"": 27}",0.36409,0.443301,1,0,ORGANIZE,OBSERVE,1.2167,4.2603,0.0667,0.0,"3.271681,1.589741,0.0",0.0,"2.7738,1.382764,0.0"
