run_id,elapsed_seconds,step_index,round_index,ai_enabled,ai_mode,ai_previous_mode,ai_mode_timer,ai_mode_duration,ai_stagnant_timer,ai_completion_timer,active_count,attached_count,detached_count,fused_count,orbiting_count,fusion_count,fusion_effect_count,particle_count,avg_track_position_s,avg_radius_from_centrosome,mean_speed,max_speed,near_membrane_count,inner_count,outer_count,clustered_score,motion_score,total_detach_events,total_track_switch_events,total_collision_events,representative_vesicle_id,representative_state,representative_track,representative_s,representative_radius_from_centrosome,representative_x,representative_y,representative_z,representative_intent
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.0,0,1,1,ORGANIZE,,0.0167,10.9416,0.0167,0.0,22,22,0,0,0,0,0,20,1.74111,1.76692,0.11998,0.2088,0,21,0,0.03463,0.04399,0,0,4,20,attached,6,2.73832,2.75265,-0.84921,1.58929,2.08089,
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.1,6,1,1,ORGANIZE,,0.1167,10.9416,0.0,0.0,22,22,0,0,0,0,0,20,1.83764,1.8618,1.76855,13.83237,0,21,0,0.03463,0.64847,0,0,4,20,attached,6,2.73832,2.75278,-0.85118,1.57883,2.0882,
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.2,12,1,1,ORGANIZE,,0.2167,10.9416,0.0,0.0,22,21,1,0,0,0,0,20,1.97908,2.01045,1.60511,12.09252,0,19,0,0.02165,0.60425,2,0,4,20,attached,6,2.96601,2.97939,-0.8993,1.71106,2.26722,
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.3,18,1,1,ORGANIZE,,0.3167,10.9416,0.0,0.0,22,22,0,0,0,0,0,20,2.07905,2.09971,2.82673,14.31422,0,17,0,0.01732,1.03647,2,0,4,20,attached,6,2.96601,2.97928,-0.89772,1.71947,2.26134,
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.4,24,1,1,ORGANIZE,,0.4167,10.9416,0.0,0.0,22,22,0,0,0,0,0,20,2.20795,2.22688,1.13248,12.36753,0,15,0,0.00866,0.41524,2,0,4,20,attached,6,3.19371,3.20595,-0.94277,1.86807,2.42892,
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.5,30,1,1,ORGANIZE,,0.5167,10.9416,0.0,0.0,22,22,0,0,0,0,0,20,2.23277,2.25219,0.13139,0.20776,0,15,0,0.01732,0.04817,2,1,4,16,attached,19,3.26581,3.27983,-0.44487,-0.98484,3.09668,attached
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.6,36,1,1,ORGANIZE,,0.6167,10.9416,0.0,0.0,22,22,0,0,0,0,0,20,2.32579,2.3446,1.28882,13.15655,0,13,0,0.01299,0.47257,2,1,4,20,attached,6,3.42141,3.43297,-0.98525,2.03032,2.58696,
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.7,42,1,1,ORGANIZE,,0.7167,10.9416,0.0,0.0,22,22,0,0,0,0,0,20,2.43192,2.45042,2.49427,14.22635,0,12,0,0.01299,0.91456,2,1,4,16,attached,19,3.46735,3.48043,-0.45321,-1.08138,3.27698,attached
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.8,48,1,1,ORGANIZE,,0.8167,10.9416,0.0,0.0,22,20,2,0,0,0,0,16,2.46115,2.44965,0.77309,14.16751,0,12,0,0.01732,0.28045,4,3,6,20,attached,6,3.6491,3.65992,-1.03365,2.1611,2.76699,
20260526-194049-sentence-script-long-microtubule-tracks-723305,0.9,54,1,1,ORGANIZE,,0.9167,10.9416,0.0,0.0,22,22,0,0,0,0,0,13,2.51008,2.52936,1.14624,11.49945,0,12,0,0.02165,0.42029,4,3,6,16,attached,19,3.66889,3.68141,-0.46165,-1.17116,3.45949,attached
