run_id,frame,wall_timestamp,elapsed_seconds,sim_time,round_index,paused,ai_enabled,ai_mode,ai_mode_time,ai_mode_duration,human_override_active,stagnation_timer,completion_timer,cell_x,cell_y,cell_z,leading_dir_x,leading_dir_y,leading_dir_z,progress_x,displacement_since_sample,filament_count,live_filament_count,total_filament_points,avg_filament_length,total_filament_length,longest_filament_length,front_tip_count,rear_root_count,adhesion_count,attached_adhesion_count,detached_adhesion_count,monomer_count,mark_count,trail_count,growth_drive,shrink_drive,branch_drive,detach_drive,retrograde_rate,flex_noise,growth_scale,contractility,shape_bulge,dip,base_radius,max_filaments,max_points_per_filament
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,1,1779842968.410144,0.022003,0.022222,1,0,1,CURIOUS,0.022222,11.46348,0,0.0,0.0,-3.596714,-0.14711,1.2672,0.982589,-0.185791,0.0,-3.596714,0.003344,28,28,218,0.980812,27.462726,1.479245,26,9,10,10,0,0,1,0,1.154664,0.94991,0.220695,0.59985,0.055,0.320404,1.0,0.75997,0.049091,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,6,1779842968.50707,0.119098,0.133333,1,0,1,CURIOUS,0.133333,11.46348,0,0.0,0.0,-3.579893,-0.150282,1.2672,0.982793,-0.18471,0.0,-3.579893,0.020462,29,29,227,0.978992,28.390777,1.520243,27,10,10,10,0,2,1,0,1.177776,0.949464,0.224127,0.599107,0.055,0.322409,1.0,0.759821,0.270179,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,14,1779842968.591373,0.203247,0.311111,1,0,1,CURIOUS,0.311111,11.46348,0,0.0,0.0,-3.550746,-0.155675,1.2672,0.983805,-0.179244,0.0,-3.550746,0.050104,33,33,253,0.932844,30.783867,1.593804,31,11,11,11,0,8,1,1,1.214041,0.948764,0.229476,0.59794,0.055,0.325577,1.0,0.759588,0.573279,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,22,1779842968.693749,0.305759,0.488889,1,0,1,CURIOUS,0.488889,11.46348,0,0.0,0.0,-3.518653,-0.161345,1.2672,0.985579,-0.169216,0.0,-3.518653,0.082692,34,34,265,0.940552,31.978768,1.678635,32,11,11,11,0,12,1,1,1.249444,0.948081,0.234658,0.596802,0.055,0.328694,1.0,0.75936,0.829655,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,32,1779842968.826652,0.438573,0.711111,1,0,1,CURIOUS,0.711111,11.46348,0,0.0,0.0,-3.478089,-0.167891,1.2672,0.988629,-0.150378,0.0,-3.478089,0.123775,36,36,276,0.910487,32.777518,1.673291,32,11,11,11,0,25,1,1,1.292519,0.94725,0.240905,0.595417,0.055,0.332521,1.0,0.759083,1.05861,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,41,1779842968.952686,0.564642,0.911111,1,0,1,CURIOUS,0.911111,11.46348,0,0.0,0.0,-3.439957,-0.173207,1.2672,0.991824,-0.127612,0.0,-3.439957,0.162258,38,38,299,0.918646,34.908547,1.810697,34,10,12,12,0,30,1,1,1.330194,0.946523,0.246317,0.594205,0.055,0.335901,1.0,0.758841,1.224835,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,46,1779842969.00451,0.616441,1.022222,1,0,1,CURIOUS,1.022222,11.46348,0,0.0,0.0,-3.417615,-0.175878,1.2672,0.993632,-0.112673,0.0,-3.417615,0.184738,42,42,318,0.877609,36.859588,1.810697,38,9,12,12,0,33,1,1,1.350689,0.946128,0.24924,0.593546,0.055,0.337752,1.0,0.758709,1.313934,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,50,1779842969.089036,0.701005,1.111111,1,0,1,CURIOUS,1.111111,11.46348,0,0.0,0.0,-3.398846,-0.177852,1.2672,0.995029,-0.099585,0.0,-3.398846,0.203585,44,44,333,0.865257,38.071323,1.810697,40,9,12,12,0,38,1,1,1.366865,0.945815,0.251537,0.593026,0.055,0.33922,1.0,0.758605,1.387162,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,55,1779842969.210772,0.822733,1.222222,1,0,1,CURIOUS,1.222222,11.46348,0,0.0,0.0,-3.375349,-0.179953,1.2672,0.996644,-0.081852,0.0,-3.375349,0.22713,46,46,344,0.855006,39.330298,1.810697,42,9,12,12,0,40,1,1,1.386813,0.945431,0.254357,0.592384,0.055,0.341038,1.0,0.758477,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,59,1779842969.298244,0.910201,1.311111,1,0,1,CURIOUS,1.311111,11.46348,0,0.0,0.0,-3.356526,-0.18132,1.2672,0.997779,-0.066609,0.0,-3.356526,0.245953,46,46,345,0.854552,39.309406,1.810697,43,9,12,12,0,44,1,1,1.402557,0.945127,0.256573,0.591878,0.055,0.34248,1.0,0.758376,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,64,1779842969.42899,1.040942,1.422222,1,0,1,CURIOUS,1.422222,11.46348,0,0.0,0.0,-3.333191,-0.182594,1.2672,0.998928,-0.046293,0.0,-3.333191,0.26924,48,48,358,0.838296,40.238207,1.810697,45,8,12,12,0,46,1,1,1.421973,0.944752,0.259293,0.591253,0.055,0.344266,1.0,0.758251,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,67,1779842969.494845,1.106792,1.488889,1,0,1,CURIOUS,1.488889,11.46348,0,0.0,0.0,-3.31918,-0.183123,1.2672,0.99944,-0.033462,0.0,-3.31918,0.2832,48,48,361,0.842918,40.460064,1.810697,45,8,12,12,0,48,1,1,1.433483,0.94453,0.260899,0.590883,0.055,0.345329,1.0,0.758177,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,72,1779842969.604366,1.216276,1.6,1,0,1,CURIOUS,1.6,11.46348,0,0.0,0.0,-3.295684,-0.183596,1.2672,0.999939,-0.011065,0.0,-3.295684,0.30657,53,53,388,0.816094,43.252964,1.810697,49,9,13,13,0,51,1,1,1.452438,0.944164,0.263533,0.590274,0.055,0.347086,1.0,0.758055,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,76,1779842969.711333,1.323228,1.688889,1,0,1,CURIOUS,1.688889,11.46348,0,0.0,0.0,-3.276812,-0.183584,1.2672,0.99997,0.007708,0.0,-3.276812,0.32531,54,54,404,0.822966,44.44014,1.810697,50,9,13,13,0,57,1,1,1.467398,0.943876,0.265603,0.589793,0.055,0.348479,1.0,0.757959,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,79,1779842969.792315,1.404138,1.755556,1,0,1,CURIOUS,1.755556,11.46348,0,0.0,0.0,-3.262661,-0.183338,1.2672,0.999752,0.022253,0.0,-3.262661,0.339346,54,54,409,0.82916,44.774638,1.810697,50,9,13,13,0,58,2,1,1.478501,0.943661,0.267134,0.589436,0.055,0.349517,1.0,0.757887,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,83,1779842969.888913,1.500799,1.844444,1,0,1,CURIOUS,1.844444,11.46348,0,0.0,0.0,-3.243624,-0.182677,1.2672,0.999108,0.042224,0.0,-3.243624,0.358208,55,55,417,0.830096,45.655255,1.810697,51,11,13,13,0,58,2,1,1.49315,0.943379,0.269146,0.588964,0.055,0.350891,1.0,0.757793,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,88,1779842970.014076,1.625964,1.955556,1,0,1,CURIOUS,1.955556,11.46348,0,0.0,0.0,-3.219854,-0.181304,1.2672,0.997683,0.068036,0.0,-3.219854,0.381737,57,57,442,0.841496,47.965264,1.810697,53,10,13,13,0,62,2,1,1.511215,0.94303,0.271617,0.588383,0.055,0.352593,1.0,0.757677,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,92,1779842970.115925,1.727771,2.044444,1,0,1,CURIOUS,2.044444,11.46348,0,0.0,0.0,-3.20087,-0.179756,1.2672,0.996006,0.089289,0.0,-3.20087,0.009524,58,58,456,0.846721,49.109822,1.810697,54,10,13,13,0,65,2,1,1.525473,0.942755,0.273558,0.587925,0.055,0.353943,1.0,0.757585,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,96,1779842970.197076,1.808973,2.133333,1,0,1,CURIOUS,2.133333,11.46348,0,0.0,0.0,-3.181924,-0.177797,1.2672,0.993819,0.111012,0.0,-3.181924,0.02857,58,58,463,0.85346,49.500686,1.810697,54,10,13,13,0,70,2,1,1.53956,0.942483,0.275468,0.587472,0.055,0.355281,1.0,0.757494,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,100,1779842970.304947,1.916799,2.222222,1,0,1,CURIOUS,2.222222,11.46348,0,0.0,0.0,-3.163026,-0.17542,1.2672,0.991097,0.133138,0.0,-3.163026,0.047613,61,61,486,0.848874,51.781285,1.875655,56,10,13,13,0,70,2,1,1.55348,0.942215,0.277348,0.587024,0.055,0.356609,1.0,0.757405,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,104,1779842970.396721,2.008535,2.311111,1,0,1,CURIOUS,2.311111,11.46348,0,0.0,0.0,-3.144143,-0.17261,1.2672,0.98782,0.155601,0.0,-3.144143,0.066693,63,63,502,0.843273,53.126177,1.875655,58,11,13,13,0,70,2,1,1.567233,0.941949,0.279198,0.586582,0.055,0.357927,1.0,0.757316,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,109,1779842970.521397,2.133192,2.422222,1,0,1,CURIOUS,2.422222,11.46348,0,0.0,0.0,-3.120344,-0.168438,1.2672,0.982917,0.184047,0.0,-3.120344,0.090829,64,64,517,0.8486,54.310417,1.873673,58,12,13,13,0,75,2,1,1.584193,0.941622,0.281469,0.586036,0.055,0.359559,1.0,0.757207,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,112,1779842970.594772,2.206577,2.488889,1,0,1,CURIOUS,2.488889,11.46348,0,0.0,0.0,-3.106075,-0.165593,1.2672,0.979538,0.201258,0.0,-3.106075,0.105354,64,64,525,0.859181,54.987555,1.871897,59,12,13,13,0,75,2,1,1.594248,0.941428,0.28281,0.585713,0.055,0.36053,1.0,0.757143,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,116,1779842970.693288,2.305094,2.577778,1,0,1,CURIOUS,2.577778,11.46348,0,0.0,0.0,-3.087132,-0.16141,1.2672,0.974517,0.224312,0.0,-3.087132,0.124708,64,64,529,0.86014,55.048957,1.85721,58,12,13,13,0,82,2,1,1.607514,0.941172,0.284573,0.585286,0.055,0.361816,1.0,0.757057,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,121,1779842970.821992,2.433681,2.688889,1,0,1,CURIOUS,2.688889,11.46348,0,0.0,0.0,-3.063602,-0.15555,1.2672,0.967414,0.253198,0.0,-3.063602,0.148875,64,64,540,0.873163,55.882444,1.85721,58,12,13,13,0,82,2,1,1.623874,0.940856,0.286737,0.58476,0.055,0.363409,1.0,0.756952,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,124,1779842970.903996,2.515734,2.755556,1,0,1,CURIOUS,2.755556,11.46348,0,0.0,0.0,-3.049572,-0.151698,1.2672,0.962716,0.270514,0.0,-3.049572,0.163359,64,64,547,0.880614,56.359327,1.85721,58,12,14,14,0,82,2,1,1.633573,0.940669,0.288015,0.584448,0.055,0.364358,1.0,0.75689,1.4,0.0,1.32,64,24
20260526-194927-sentence-script-a-cell-sphere-is-filled-38e823,127,1779842971.001074,2.612574,2.822222,1,0,1,CURIOUS,2.822222,11.46348,0,0.0,0.0,-3.035571,-0.147582,1.2672,0.957696,0.287781,0.0,-3.035571,0.177874,64,64,553,0.886974,56.766356,1.85721,57,13,14,14,0,82,2,1,1.643184,0.940484,0.289278,0.584139,0.055,0.3653,1.0,0.756828,1.4,0.0,1.32,64,24
