wall_elapsed_s,sample_index,sim_time_s,round_index,paused,ai_enabled,ai_mode,ai_stagnant_time_s,ai_manual_override_s,receptor_count,active_receptor_count,bound_receptor_count,ready_receptor_count,ligand_count,specific_ligand_count,nonspecific_ligand_count,free_ligand_count,free_specific_ligand_count,free_nonspecific_ligand_count,bound_ligand_count,avg_free_ligand_speed,signal_count,messenger_count,membrane_mark_count,delivered_count,round_goal,delivery_fraction,nucleus_opacity,nucleus_core_radius,first_free_ligand_x,first_free_ligand_y,first_free_ligand_z,first_free_ligand_speed,first_ready_receptor_x,first_ready_receptor_y,first_ready_receptor_z
0.013284,0,0.001,1,0,1,RESET_LOOP,0.0,0.0,30,0,0,0,50,32,18,50,32,18,0,0.436177,0,0,6,0,28,0.0,0.5,0.667545,-3.126229,-1.983401,5.447748,0.506615,,,
0.224911,1,0.21151,1,0,1,RESET_LOOP,0.0,0.0,30,0,0,2,50,32,18,50,32,18,0,0.320022,0,0,6,0,28,0.0,0.5,0.676646,-3.057752,-1.917993,5.457935,0.399377,3.862378,-0.479506,0.03
0.428544,2,0.417328,1,0,1,RESET_LOOP,0.0,0.0,30,0,0,4,50,32,18,50,32,18,0,0.235365,0,0,6,0,28,0.0,0.5,0.682976,-3.006953,-1.869353,5.465627,0.294971,3.862378,-0.479506,0.03
0.630058,3,0.610081,1,0,1,RESET_LOOP,0.0,0.0,30,0,0,7,50,32,18,50,32,18,0,0.192144,0,0,12,0,28,0.0,0.5,0.684998,-2.971529,-1.835205,5.472963,0.236275,3.862378,-0.479506,0.03
0.837564,4,0.826066,1,0,1,RESET_LOOP,0.0,0.0,30,0,0,12,50,32,18,50,32,18,0,0.192579,0,0,12,0,28,0.0,0.5,0.682167,-2.941532,-1.804766,5.48178,0.180825,3.862378,-0.479506,0.03
1.041306,5,1.029824,1,0,1,RESET_LOOP,0.0,0.0,30,0,0,17,50,32,18,50,32,18,0,0.205882,0,0,18,0,28,0.0,0.5,0.675333,-2.918459,-1.779214,5.487963,0.176165,3.862378,-0.479506,0.03
1.251745,6,1.23692,1,0,1,RESET_LOOP,0.0,0.0,30,0,0,20,50,32,18,50,32,18,0,0.16928,0,0,18,0,28,0.0,0.5,0.666199,-2.893669,-1.758734,5.490642,0.147377,3.862378,-0.479506,0.03
1.457229,7,1.444561,1,0,1,RESET_LOOP,0.155641,0.0,30,0,0,21,50,32,18,50,32,18,0,0.139297,0,0,24,0,28,0.0,0.5,0.657414,-2.875846,-1.740417,5.491105,0.103391,3.862378,-0.479506,0.03
1.670153,8,1.65439,1,0,1,RESET_LOOP,0.36547,0.0,30,0,0,23,50,32,18,50,32,18,0,0.112221,0,0,24,0,28,0.0,0.5,0.651457,-2.860868,-1.724291,5.490617,0.101524,2.013285,3.746244,0.03
1.8729,9,1.861599,1,0,1,RESET_LOOP,0.572679,0.0,30,0,0,26,50,32,18,50,32,18,0,0.106528,0,0,30,0,28,0.0,0.5,0.650143,-2.848481,-1.709628,5.488321,0.09729,2.013285,3.746244,0.03
